,AC_POWER
51751,0.0
57136,0.0
49133,0.0
47663,1199.5
50038,636.7933333333334
55446,0.0
36533,0.0
41020,734.1200000000001
53424,0.0
1093,1260.2266666666667
17507,0.0
32294,0.0
23664,23.478571428571428
22707,0.0
13,0.0
1950,0.0
19646,1093.9533333333331
10004,0.0
61330,0.0
7627,976.6428571428572
5360,1034.88
56877,0.0
60109,593.88
46002,246.45333333333332
60071,580.9200000000001
61486,0.0
28314,189.29333333333332
49714,1170.8733333333332
44017,1.2999999999999998
42693,0.0
3505,327.90666666666664
50086,765.85
3075,0.0
43756,677.1733333333332
60844,101.25714285714284
11963,0.0
52058,261.76000000000005
15112,0.0
8872,0.0
60267,856.56
24178,0.0
51485,240.92
66886,514.2933333333334
41433,0.0
29065,596.8266666666666
50476,0.0
14603,0.0
4458,0.0
28591,0.0
31599,0.0
30811,987.5866666666669
30208,0.0
26426,818.1333333333333
60065,624.35
23957,0.0
1098,1269.2266666666665
44703,0.0
47464,0.0
20622,0.0
31025,398.82666666666665
67200,32.1
52963,0.0
31246,57.08
47193,137.86
24688,778.0533333333334
37455,310.9866666666667
63924,0.0
52922,0.0
929,1158.7133333333334
61521,0.0
40460,0.0
934,0.0
61136,0.0
37628,36.246666666666655
21175,462.3
54226,246.23571428571427
22529,0.0
58267,0.0
42608,0.0
7971,0.0
35908,0.0
38163,0.0
61811,0.0
25161,722.18
40054,0.0
12388,11.366666666666664
5503,583.84
39640,293.9933333333334
56308,463.66666666666663
49930,797.5333333333333
54673,0.0
30055,0.0
8260,0.0
31248,57.98
18374,335.09333333333336
19364,155.01999999999998
33480,0.0
32423,71.37857142857143
10959,0.0
25817,0.0
1083,1238.614285714286
66733,707.2600000000001
13003,945.2857142857144
10346,0.0
25889,0.0
32345,0.0
22497,0.0
61298,0.0
40355,0.0
1717,0.0
24308,0.0
29644,0.0
63557,0.0
2932,941.12
10415,0.0
45488,896.7666666666665
29158,228.04
40167,0.0
37416,719.8533333333332
30615,581.7399999999999
56085,523.2214285714288
14921,361.21428571428567
59548,0.0
45451,0.0
63448,0.0
16545,795.9866666666669
64629,707.5600000000001
12775,651.6600000000001
1348,843.2800000000002
44420,0.0
1040,1206.0399999999995
9927,6.06
64278,526.0066666666667
55229,0.0
15233,0.0
32819,484.5933333333333
21482,0.0
12476,183.12
20848,0.0
66827,362.6666666666666
11260,861.4066666666665
46047,163.38571428571427
58783,26.15333333333333
4164,0.0
23960,0.0
14831,758.6642857142857
67394,0.0
64127,199.5642857142857
26110,0.0
13942,0.0
62467,625.5533333333333
65581,0.0
26885,810.6
66056,0.0
31028,371.65333333333336
43752,683.82
21765,651.92
53288,0.0
38225,0.0
49755,0.0
62697,468.14
27035,327.8666666666668
53204,0.0
8832,0.0
41370,0.0
31360,1.2642857142857145
56330,492.7533333333333
52355,17.73
51533,482.6428571428572
31299,58.29333333333334
56979,0.0
4681,0.0
13551,0.0
29107,459.41333333333336
67162,96.10666666666664
47036,0.0
18745,0.0
3278,1175.4800000000002
18617,0.0
44254,0.0
48329,0.0
3253,0.0
8248,0.0
7607,0.0
7147,669.7
49878,987.0071428571428
9003,78.60666666666665
21707,877.2642857142857
54748,0.0
58735,119.44
19526,801.3499999999998
4713,0.0
40675,0.0
23178,1266.28
52432,0.0
18614,0.0
40866,161.97333333333336
16972,0.0
15951,280.3785714285715
39416,572.1333333333334
40160,0.0
65364,0.0
14189,179.81333333333333
27988,0.0
29938,0.0
14201,198.55
25229,547.2866666666667
42119,0.0
67275,0.0
16822,0.0
17331,0.0
57703,42.313333333333325
37993,0.0
22733,0.0
1022,0.0
7286,973.3066666666666
856,977.7571428571428
33738,0.0
65531,0.0
19117,0.0
25179,553.6200000000001
5770,114.50666666666667
65370,0.0
39161,1098.2133333333331
3363,147.44666666666663
34931,257.5333333333333
38944,708.6266666666668
13514,0.0
42359,0.0
46570,0.0
32384,3.126666666666668
31385,0.0
23165,0.0
54582,0.0
36699,164.88
2649,45.06666666666667
50119,656.1
53149,0.0
19605,972.8066666666668
46444,0.0
40556,0.0
53808,439.29333333333335
42294,0.0
62023,221.22666666666663
47523,1151.92
54774,0.0
18933,0.0
19913,995.0666666666668
63455,0.0
7861,125.88000000000002
66823,302.74
55487,0.0
67245,3.1214285714285714
5115,73.25333333333333
16838,0.0
60310,811.7785714285717
62570,418.04285714285703
15700,0.0
26538,909.5071428571428
31796,0.0
58002,236.6933333333333
53882,596.7466666666666
29941,0.0
47798,1193.16
64251,508.7866666666666
63656,0.0
53745,456.12
37719,0.0
34987,662.1533333333333
66575,503.19333333333327
40395,0.0
62568,396.84
1688,0.0
18644,0.0
16148,1078.1999999999998
16877,0.0
9933,4.966666666666666
62833,374.69333333333327
7383,1230.3933333333332
50419,0.0
55182,0.0
41576,488.9866666666666
59321,0.0
65308,0.0
26558,946.7933333333334
42831,0.0
39880,0.0
29668,0.0
67476,0.0
56696,1.96
19725,1251.1066666666668
17276,0.0
26305,136.31333333333333
60970,0.0
8499,0.0
57925,551.5333333333333
7227,0.0
23546,410.9933333333333
27464,0.0
30933,1071.66
58138,0.0
27606,0.0
27270,0.0
11544,0.0
43857,418.26666666666665
44433,0.0
33079,81.99285714285713
24617,438.63571428571424
48297,0.0
55458,0.0
58125,520.6800000000001
33114,56.973333333333336
8257,0.0
11436,244.17142857142855
55581,18.500000000000004
3991,0.0
4052,0.0
64472,760.0266666666665
57801,275.70666666666665
61991,203.3428571428572
3464,606.4214285714286
22355,0.0
25589,0.0
3077,1185.6933333333332
55345,0.0
56263,690.7266666666667
56982,0.0
19719,1208.1933333333332
44721,0.0
12721,0.0
8055,0.0
18053,1237.5142857142855
60007,532.7285714285715
43637,0.0
61666,0.0
31369,1.3199999999999998
50637,0.0
59893,268.0
41507,367.30000000000007
32686,851.5133333333334
46681,0.0
59078,0.0
103,0.0
45450,816.8933333333334
54914,0.0
37080,0.0
46166,0.0
22939,614.1933333333333
44576,0.0
57607,0.0
39189,0.0
48675,0.0
33028,42.6
3364,1066.8333333333337
29734,0.0
63766,0.0
43128,824.1133333333332
20601,0.0
59094,0.0
9279,325.38000000000005
4709,0.0
19034,0.0
57628,0.0
4389,0.0
47284,556.2800000000002
63642,0.0
3616,46.24000000000001
27755,0.0
24175,0.0
56149,485.46
43322,1133.166666666667
45883,219.02666666666667
22140,0.0
67347,0.0
60717,479.38666666666666
45507,998.9714285714285
21867,136.52666666666667
5680,461.13999999999993
51733,1038.573333333333
67602,0.0
16109,980.72
58614,465.62
9212,339.1266666666666
57594,0.0
27637,0.0
24944,1257.8466666666666
48738,0.0
56063,476.94666666666666
21796,558.3
64689,588.8666666666668
8533,0.0
3208,874.5666666666666
2266,0.0
39946,0.0
55401,0.0
26734,854.5933333333332
19918,1031.6466666666663
21918,4.953333333333333
38484,0.0
31476,0.0
51748,1078.68
9968,0.0
38530,0.0
30583,937.32
12722,0.0
42626,0.0
16679,179.44285714285715
38223,0.0
48605,0.0
57820,294.9428571428572
44250,0.0
26998,413.19333333333327
34369,0.0
20760,0.0
42780,0.0
39840,0.0
27117,32.728571428571435
23231,0.0
14599,1207.8466666666668
10220,0.0
49032,0.0
6471,0.0
43103,625.48
55540,0.0
31183,179.21333333333334
22724,0.0
53894,587.3266666666665
11305,609.6333333333333
38400,0.0
454,0.0
12976,1121.9133333333332
11606,0.0
60458,1186.6133333333332
19159,0.0
1432,473.6357142857143
41919,0.0
1514,287.9785714285714
44469,0.0
17460,0.0
42241,0.0
42140,0.0
18734,0.0
48261,0.0
50321,19.739999999999995
52728,0.0
45287,618.9133333333333
62944,123.9
13651,0.0
34,0.0
6163,0.0
18500,0.0
65193,0.0
30650,854.7357142857143
5093,0.0
36972,467.5533333333333
48760,0.0
17821,827.2933333333333
8894,0.0
40412,0.0
34432,0.0
30251,0.0
5913,0.0
10336,0.0
3900,0.0
21910,38.69333333333333
30202,0.0
47472,1127.6266666666668
23714,0.0
41921,0.0
66589,328.42
62567,403.3466666666666
18584,0.0
39606,461.14
629,316.3066666666667
64660,829.7266666666668
20078,358.14
12612,791.3399999999998
7185,974.1133333333331
43389,944.08
17082,0.0
26684,938.3866666666664
8138,0.0
52151,307.2928571428572
42076,0.0
12227,0.0
25293,331.3533333333333
62234,628.5571428571429
40023,0.0
46167,0.0
19944,922.1066666666668
25860,0.0
38020,0.0
67609,0.0
8767,0.0
48634,0.0
58404,522.1733333333333
32042,0.0
37820,0.0
51382,40.040000000000006
44389,0.0
50162,598.9333333333334
62189,857.36
